gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,31840,7168,7168,cktile,29,0,1381.7843,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2367.88,532.69,0.0
gfx950,256,31844,7168,7168,cktile,27,0,1385.1523,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2362.41,531.46,0.0
gfx950,256,31856,7168,7168,cktile,11,0,1380.8982,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2370.59,533.28,0.0
gfx950,256,31888,7168,7168,cktile,28,0,1391.5737,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2354.76,529.69,0.0
gfx950,256,32048,7168,7168,cktile,29,0,1394.7285,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2361.22,530.96,0.0
gfx950,256,32092,7168,7168,cktile,29,0,1404.573,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2347.89,527.91,0.0
gfx950,256,32132,7168,7168,cktile,29,0,1406.4749,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2347.64,527.81,0.0
gfx950,256,32160,7168,7168,cktile,11,0,1407.8681,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2347.36,527.71,0.0
gfx950,256,32176,7168,7168,cktile,27,0,1410.6091,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2343.97,526.93,0.0
gfx950,256,32208,7168,7168,cktile,27,0,1413.7916,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2341.02,526.23,0.0
gfx950,256,32240,7168,7168,cktile,27,0,1413.3272,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2344.11,526.89,0.0
gfx950,256,32316,7168,7168,cktile,28,0,1418.3187,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2341.37,526.19,0.0
gfx950,256,32340,7168,7168,cktile,28,0,1416.9262,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2345.41,527.07,0.0
gfx950,256,32348,7168,7168,cktile,28,0,1417.4422,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2345.14,527.0,0.0
gfx950,256,32392,7168,7168,cktile,11,0,1421.5638,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2341.52,526.14,0.0
gfx950,256,32428,7168,7168,cktile,27,0,1420.3089,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2346.19,527.15,0.0
gfx950,256,32444,7168,7168,cktile,27,0,1424.9009,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2339.78,525.69,0.0
gfx950,256,32460,7168,7168,cktile,28,0,1423.1225,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2343.86,526.59,0.0
gfx950,256,32508,7168,7168,cktile,27,0,1422.2813,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2348.72,527.63,0.0
gfx950,256,32604,7168,7168,cktile,11,0,1420.9534,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2357.85,529.57,0.0
gfx950,256,32632,7168,7168,cktile,29,0,1421.9201,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2358.28,529.64,0.0
gfx950,256,32692,7168,7168,cktile,28,0,1418.5029,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2368.3,531.82,0.0
gfx950,256,32744,7168,7168,cktile,28,0,1420.2248,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2369.19,531.96,0.0
gfx950,256,272,16160,7168,cktile,29,0,78.0103,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,807.77,1622.55,0.0
gfx950,256,288,16160,7168,cktile,29,0,78.6825,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,847.98,1616.72,0.0
gfx950,256,304,16160,7168,cktile,11,0,78.7932,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,893.83,1622.47,0.0
