gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,11.301755102040687,impl__flydsl_gfx942__16_16_16_False,0.00%,0.0,,0%,11.301755102040687,0,0,0,1.2525289986,0.0,
gfx942,80,2,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,15.298488372093077,impl__flydsl_gfx942__16_16_16_False_True,0.00%,0.0,,0%,15.298488372093077,0,0,0,1.8506110742,0.0,
gfx942,80,4,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,24.98113999999998,impl__flydsl_gfx942__16_16_16_False_True,0.01%,0.0,,0%,24.98113999999998,0,0,0,2.2666341088,0.0,
gfx942,80,8,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,30.48854761904756,impl__flydsl_gfx942__16_16_16_False_True,0.00%,0.0,,0%,30.48854761904756,0,0,0,3.7143851329,0.0,
gfx942,80,16,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,55.4527346938773,impl__flydsl_gfx942__16_128_64_False,0.00%,0.0,,0%,55.4527346938773,0,0,0,4.0844228378,0.0,
gfx942,80,32,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,68.00025999999951,impl__flydsl_gfx942__16_128_64_False,0.00%,0.0,,0%,68.00025999999951,0,0,0,6.6615161766,0.0,
gfx942,80,64,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,83.04691836734656,impl__flydsl_gfx942__16_128_64_False,0.00%,0.0,,0%,83.04691836734656,0,0,0,10.9091304266,0.0,
gfx942,80,128,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,97.40524000000005,impl__flydsl_gfx942__16_128_64_False,0.00%,0.0,,0%,97.40524000000005,0,0,0,18.6020724142,0.0,
gfx942,80,256,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,41.5612,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,69.7232,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,111.2844,0,0,0,32.5641209010,1830.32,
gfx942,80,512,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,46.1951,moe_ck2stages_gemm1_256x32x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,76.5463,moe_ck2stages_gemm2_256x32x64x128_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,122.7414,0,0,0,59.0490031236,1672.29,
gfx942,80,1024,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,160.02300000000048,impl__flydsl_gfx942__64_128_256_True:1x4_64x256:64:128,0.64%,0.0,,0%,160.02300000000048,0,0,0,90.5839449579,0.0,
gfx942,80,2048,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,245.96529999999967,impl__flydsl_gfx942__64_256_128_True:1x4_64x256:64:128,0.66%,0.0,,0%,245.96529999999967,0,0,0,117.8663382518,0.0,
gfx942,80,4096,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,367.12416000000013,impl__flydsl_gfx942__64_128_256_True:1x4_64x256:64:128,0.59%,0.0,,0%,367.12416000000013,0,0,0,157.9358288379,0.0,
gfx942,80,8192,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,656.0921333333325,impl__flydsl_gfx942__64_128_128_True:1x4_64x256:64:128,0.66%,0.0,,0%,656.0921333333325,0,0,0,176.7497445867,0.0,
gfx942,80,16384,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,1199.5093409090882,impl__flydsl_gfx942__64_256_128_True:1x4_64x256:64:128,0.68%,0.0,,0%,1199.5093409090882,0,0,0,193.3525868237,0.0,
